id,malnummer,domstol,avgorande_datum,rubrik,lagomrade,huvudsaklig_lag,sammanfattning,utfall,nyckelord,fulltext_url,skapad_datum
14,AD 2022 nr 45,Arbetsdomstolen,2022-09-21,Diskriminering på grund av religion,Diskrimineringslagen,Diskrimineringslag (2008:567),Arbetstagare nekades ledighet för religiös högtid trots att detta var möjligt att ordna. Arbetsdomstolen fann att detta utgjorde diskriminering på grund av religion.,"Diskriminering fastställdes, 75 000 kr i ersättning","religionsdiskriminering, ledighet, religiös högtid, skäliga åtgärder",https://lagen.nu/dom/ad/2022:45,2026-02-09 12:28:30
13,AD 2022 nr 30,Arbetsdomstolen,2022-05-18,Uppsägning - alkoholmissbruk,LAS,Lag om anställningskydd (1982:80),Arbetsdomstolen prövade om arbetsgivarens uppsägning av arbetstagare med alkoholproblem var sakligt grundad. Domstolen fann att arbetsgivaren först skulle ha erbjudit rehabilitering och stöd innan uppsägning kunde bli aktuell.,Uppsägningen ogiltigförklarades,"uppsägning, personliga skäl, alkoholmissbruk, rehabilitering, omplacering",https://lagen.nu/dom/ad/2022:30,2026-02-09 12:28:30
12,AD 2021 nr 33,Arbetsdomstolen,2021-06-16,Trakasserier på grund av etnisk tillhörighet,Diskrimineringslagen,Diskrimineringslag (2008:567),Arbetstagare utsattes för upprepade kränkande kommentarer om etnisk bakgrund från kollegor. Arbetsdomstolen fann att arbetsgivaren inte hade vidtagit tillräckliga åtgärder för att förhindra trakasserierna.,Arbetsgivaren dömdes till skadestånd,"trakasserier, etnisk tillhörighet, arbetsgivaransvar, arbetsmiljö",https://lagen.nu/dom/ad/2021:33,2026-02-09 12:26:25
8,AD 2021 nr 19,Arbetsdomstolen,2021-04-07,Diskriminering på grund av funktionsnedsättning,Diskrimineringslagen,Diskrimineringslag (2008:567),Arbetstagare med rörelsehinder nekades anpassning av arbetsplats. Arbetsdomstolen fann att arbetsgivaren hade brutit mot skyldigheten att vidta skäliga åtgärder för tillgänglighet enligt 2 kap. 7 § diskrimineringslagen.,Diskriminering fastställdes,"funktionsnedsättning, skäliga åtgärder, tillgänglighet, anpassning",https://lagen.nu/dom/ad/2021:19,2026-02-09 12:26:25
6,AD 2020 nr 52,Arbetsdomstolen,2020-09-15,Könsdiskriminering - lön,Diskrimineringslagen,Diskrimineringslag (2008:567),Mål om könsdiskriminering i form av löneskillnader mellan kvinnliga och manliga arbetstagare som utförde likvärdigt arbete. Arbetsdomstolen fann att arbetsgivaren inte hade visat att löneskillnaderna hade sakliga grunder.,Könsdiskriminering fastställdes,"könsdiskriminering, lön, likvärdigt arbete, bevisbörda",https://lagen.nu/dom/ad/2020:52,2026-02-09 12:26:25
3,AD 2020 nr 38,Arbetsdomstolen,2020-06-10,Omplaceringsskyldighet före uppsägning,LAS,Lag om anställningskydd (1982:80),Arbetsdomstolen prövade om arbetsgivaren hade uppfyllt sin skyldighet att försöka omplacera arbetstagaren innan uppsägning. Domstolen fann att arbetsgivaren inte hade gjort tillräckliga omplaceringsförsök.,Uppsägningen ogiltigförklarades,"uppsägning, omplacering, arbetsbrist, saklig grund",https://lagen.nu/dom/ad/2020:38,2026-02-09 12:26:25
10,AD 2020 nr 21,Arbetsdomstolen,2020-04-22,Repressalier efter diskrimineringsanmälan,Diskrimineringslagen,Diskrimineringslag (2008:567),Arbetstagare som anmält diskriminering blev uppsagd kort därefter. Arbetsdomstolen fann att uppsägningen utgjorde en otillåten repressalie enligt 2 kap. 16 § diskrimineringslagen.,"Repressalier fastställdes, uppsägningen ogiltigförklarades","repressalier, diskrimineringsanmälan, uppsägning, visselblåsarskydd",https://lagen.nu/dom/ad/2020:21,2026-02-09 12:26:25
9,AD 2019 nr 72,Arbetsdomstolen,2019-12-18,Sexuella trakasserier på arbetsplatsen,Diskrimineringslagen,Diskrimineringslag (2008:567),Mål om sexuella trakasserier där arbetsgivaren kände till problemet men inte vidtog tillräckliga åtgärder. Arbetsdomstolen fann att arbetsgivaren var skyldig att utreda och åtgärda trakasserierna.,Arbetsgivaren dömdes till skadestånd,"sexuella trakasserier, arbetsgivaransvar, aktiva åtgärder",https://lagen.nu/dom/ad/2019:72,2026-02-09 12:26:25
1,AD 2019 nr 50,Arbetsdomstolen,2019-08-28,Uppsägning på grund av samarbetssvårigheter,LAS,Lag om anställningskydd (1982:80),Arbetsdomstolen fann att uppsägning på grund av samarbetssvårigheter kan utgöra saklig grund enligt 7 § LAS om arbetstagaren genom sitt uppträdande försvårar samarbetet på ett sätt som arbetsgivaren inte skäligen kan acceptera.,Uppsägningen godkändes,"uppsägning, personliga skäl, samarbetssvårigheter, saklig grund",https://lagen.nu/dom/ad/2019:50,2026-02-09 12:26:25
5,AD 2019 nr 14,Arbetsdomstolen,2019-03-12,Åldersdiskriminering vid rekrytering,Diskrimineringslagen,Diskrimineringslag (2008:567),Arbetsdomstolen fann att en arbetssökande hade utsatts för åldersdiskriminering när arbetsgivaren i jobbannons angav önskad ålder 20-35 år. Arbetsgivaren dömdes att betala diskrimineringsersättning.,"Diskriminering fastställdes, 100 000 kr i ersättning","åldersdiskriminering, rekrytering, diskrimineringsersättning, bevisbörda",https://lagen.nu/dom/ad/2019:14,2026-02-09 12:26:25
7,AD 2018 nr 67,Arbetsdomstolen,2018-11-28,Etnisk diskriminering vid rekrytering,Diskrimineringslagen,Diskrimineringslag (2008:567),En arbetssökande med utländskt klingande namn fick inte komma på intervju trots goda meriter. Arbetsdomstolen fann att det förelåg omständigheter som gav anledning att anta diskriminering och att arbetsgivaren inte hade visat att diskriminering inte förekommit.,"Diskriminering fastställdes, 30 000 kr i ersättning","etnisk diskriminering, rekrytering, bevisbörda, diskrimineringsersättning",https://lagen.nu/dom/ad/2018:67,2026-02-09 12:26:25
2,AD 2018 nr 25,Arbetsdomstolen,2018-05-15,Turordning vid uppsägning - arbetsbrist,LAS,Lag om anställningskydd (1982:80),Mål om tillämpning av turordningsreglerna vid uppsägning på grund av arbetsbrist. Fråga om beräkning av anställningstid och tillgodoräknande av tidigare anställningar.,Arbetsgivaren åläggs att återanställa arbetstagaren,"arbetsbrist, turordning, anställningstid, företrädesrätt",https://lagen.nu/dom/ad/2018:25,2026-02-09 12:26:25
4,AD 2017 nr 42,Arbetsdomstolen,2017-09-20,Provanställning och uppsägning,LAS,Lag om anställningskydd (1982:80),"Fråga om uppsägning under provanställning. Domstolen fastslog att lägre krav ställs på saklig grund under provanställning, men att uppsägningen inte får vara godtycklig eller diskriminerande.",Uppsägningen godkändes,"provanställning, uppsägning, saklig grund",https://lagen.nu/dom/ad/2017:42,2026-02-09 12:26:25
11,AD 2017 nr 15,Arbetsdomstolen,2017-03-29,Graviditetsdiskriminering,Diskrimineringslagen,Diskrimineringslag (2008:567),Gravid arbetstagare fick inte förnyat visstidskontrakt. Arbetsdomstolen fann att det förelåg omständigheter som gav anledning att anta diskriminering på grund av kön/graviditet.,"Diskriminering fastställdes, 150 000 kr i ersättning","graviditetsdiskriminering, visstidsanställning, bevisbörda",https://lagen.nu/dom/ad/2017:15,2026-02-09 12:26:25
