tema,beskrivning,antal_rattsfall
Diskriminering kön,Könsdiskriminering och jämställdhet,2
Personliga skäl,Uppsägning på personliga grunder,2
Arbetsbrist,Uppsägning p.g.a. arbetsbrist,1
Diskriminering etnicitet,Etnisk diskriminering,1
Diskriminering funktionsnedsättning,Diskriminering p.g.a. funktionsnedsättning,1
Diskriminering ålder,Åldersdiskriminering i arbetslivet,1
Omplacering,Arbetsgivarens omplaceringsskyldighet,1
Provanställning,Provanställning,1
Repressalier,Repressalier mot arbetstagare,1
Sexuella trakasserier,Sexuella trakasserier,1
Trakasserier,Trakasserier på arbetsplatsen,1
Turordning,Turordning vid uppsägning och företrädesrätt,1
Bevisning,Bevisbörda och bevisning,0
Diskriminering religion,Diskriminering på grund av religion eller annan trosuppfattning,0
Skadestånd,Skadestånd i arbetsrättsliga mål,0
Uppsägning saklig grund,Rättsfall om sakliga grunder för uppsägning enligt LAS,0
Visstidsanställning,Frågor om visstidsanställningar,0
